time,ssp119,ssp126,ssp245,ssp585
1750,0.0,0.0,0.0,0.0
1751,0.008551626388922023,0.008551626388922023,0.008551626388922023,0.008551626388922023
1752,0.01467645193751902,0.01467645193751902,0.01467645193751902,0.01467645193751902
1753,0.012857210910529108,0.012857210910529108,0.012857210910529108,0.012857210910529108
1754,0.005203153616559778,0.005203153616559778,0.005203153616559778,0.005203153616559778
1755,0.012979707189031613,0.012979707189031613,0.012979707189031613,0.012979707189031613
1756,0.018589352419061882,0.018589352419061882,0.018589352419061882,0.018589352419061882
1757,0.008968122208628174,0.008968122208628174,0.008968122208628174,0.008968122208628174
1758,0.015518443087399093,0.015518443087399093,0.015518443087399093,0.015518443087399093
1759,0.015880125460761337,0.015880125460761337,0.015880125460761337,0.015880125460761337
1760,0.011510795756389483,0.011510795756389483,0.011510795756389483,0.011510795756389483
1761,0.017349023077787972,0.017349023077787972,0.017349023077787972,0.017349023077787972
1762,0.02297523990297292,0.02297523990297292,0.02297523990297292,0.02297523990297292
1763,0.025132036344967246,0.025132036344967246,0.025132036344967246,0.025132036344967246
1764,0.04199542660390249,0.04199542660390249,0.04199542660390249,0.04199542660390249
1765,0.025671070738069825,0.025671070738069825,0.025671070738069825,0.025671070738069825
1766,0.03609472713459355,0.03609472713459355,0.03609472713459355,0.03609472713459355
1767,0.037187154667570256,0.037187154667570256,0.037187154667570256,0.037187154667570256
1768,0.022991456815919294,0.022991456815919294,0.022991456815919294,0.022991456815919294
1769,0.03262339036040814,0.03262339036040814,0.03262339036040814,0.03262339036040814
1770,0.0344992858062488,0.0344992858062488,0.0344992858062488,0.0344992858062488
1771,0.0476241280662566,0.0476241280662566,0.0476241280662566,0.0476241280662566
1772,0.05506360057200699,0.05506360057200699,0.05506360057200699,0.05506360057200699
1773,0.05478365605653181,0.05478365605653181,0.05478365605653181,0.05478365605653181
1774,0.040002689141378625,0.040002689141378625,0.040002689141378625,0.040002689141378625
1775,0.04992330496197283,0.04992330496197283,0.04992330496197283,0.04992330496197283
1776,0.056821932171489425,0.056821932171489425,0.056821932171489425,0.056821932171489425
1777,0.05229105572875913,0.05229105572875913,0.05229105572875913,0.05229105572875913
1778,0.04892516047463641,0.04892516047463641,0.04892516047463641,0.04892516047463641
1779,0.05736748878470195,0.05736748878470195,0.05736748878470195,0.05736748878470195
1780,0.04954350067270175,0.04954350067270175,0.04954350067270175,0.04954350067270175
1781,0.057320347315236934,0.057320347315236934,0.057320347315236934,0.057320347315236934
1782,0.0611334668567111,0.0611334668567111,0.0611334668567111,0.0611334668567111
1783,0.06576764759170196,0.06576764759170196,0.06576764759170196,0.06576764759170196
1784,0.07814315337848769,0.07814315337848769,0.07814315337848769,0.07814315337848769
1785,0.06697274762626934,0.06697274762626934,0.06697274762626934,0.06697274762626934
1786,0.07601242437157303,0.07601242437157303,0.07601242437157303,0.07601242437157303
1787,0.07218336818318939,0.07218336818318939,0.07218336818318939,0.07218336818318939
1788,0.05901920109850322,0.05901920109850322,0.05901920109850322,0.05901920109850322
1789,0.06897750829302184,0.06897750829302184,0.06897750829302184,0.06897750829302184
1790,0.06981196055147396,0.06981196055147396,0.06981196055147396,0.06981196055147396
1791,0.08256493068610994,0.08256493068610994,0.08256493068610994,0.08256493068610994
1792,0.08897225062163223,0.08897225062163223,0.08897225062163223,0.08897225062163223
1793,0.08995585555730319,0.08995585555730319,0.08995585555730319,0.08995585555730319
1794,0.07483205992435989,0.07483205992435989,0.07483205992435989,0.07483205992435989
1795,0.08445551548929747,0.08445551548929747,0.08445551548929747,0.08445551548929747
1796,0.09195485182536095,0.09195485182536095,0.09195485182536095,0.09195485182536095
1797,0.08729466208630052,0.08729466208630052,0.08729466208630052,0.08729466208630052
1798,0.08472741393391524,0.08472741393391524,0.08472741393391524,0.08472741393391524
1799,0.08840560131510497,0.08840560131510497,0.08840560131510497,0.08840560131510497
1800,0.08497022803706679,0.08497022803706679,0.08497022803706679,0.08497022803706679
1801,0.0920188748232543,0.0920188748232543,0.0920188748232543,0.0920188748232543
