time,0
1750,0.056120679481986596
1751,0.05902543828676898
1752,0.0607743050423005
1753,0.058538061889327364
1754,0.052837874475296503
1755,0.05622892132806029
1756,0.057301315106512304
1757,0.049453202544579106
1758,0.05371186304011269
1759,0.05163260144158721
1760,0.04908879507856928
1761,0.05005066147741391
1762,0.05330310104566238
1763,0.05251659388948271
1764,0.0597584050640812
1765,0.0509197014333692
1766,0.054217525957895
1767,0.05502615685152579
1768,0.04193566290208728
1769,0.044794212061976396
1770,0.0426562292364662
1771,0.06471038190737219
1772,0.06639288598399451
1773,0.065596716475701
1774,0.056752454868361404
1775,0.062040595450542
1776,0.06451151963456309
1777,0.06124447975114851
1778,0.05832865684799929
1779,0.06152290730889237
1780,0.055653407016908685
1781,0.05916434807680537
1782,0.059728554651464594
1783,0.061023081415311875
1784,0.06730782035890748
1785,0.05928081413525155
1786,0.06449572340549231
1787,0.06025475117256719
1788,0.0511416565481604
1789,0.0554975078098523
1790,0.05488032071161958
1791,0.061550798229344006
1792,0.0652623260548062
1793,0.0638321937753599
1794,0.0526003251710121
1795,0.0573953547304286
1796,0.06002799684694679
1797,0.0564077486635302
1798,0.053509740108751196
1799,0.054205424116143
1800,0.0506013860672708
1801,0.05369358831738201
1802,0.05227149628722681
1803,0.05559221179043519
1804,0.059549612663098106
1805,0.05144926686228701
1806,0.0535878033398285
1807,0.0510472101345511
1808,0.042829117200800196
1809,0.046163492628595204
1810,0.04545407613121277
1811,0.049888166828348846
1812,0.053200062557370476
1813,0.0504724070226468
1814,0.0412338068063408
1815,0.04479249048716394
1816,0.04471514067949389
1817,0.0436840505389664
1818,0.03911985763556153
1819,0.04087398000795031
1820,0.035809423406765
1821,0.03707142539525969
1822,0.036243349301873506
1823,0.04013571307171729
1824,0.041786703697792596
1825,0.03568258362722469
1826,0.03744297758923901
1827,0.0332338566481272
1828,0.02400119926058708
1829,0.026711067608066782
1830,0.021442956234690697
1831,0.02569486763108131
1832,0.026766150751829976
1833,0.024341655350889946
1834,0.016012066011626802
1835,0.01826941115709202
1836,0.014762536275606086
1837,0.013848290570619301
1838,0.008901325060807597
1839,0.008030926695516
1840,0.00589737411027158
1841,0.004089225604144292
1842,0.0035650032835160966
1843,0.005800742632162702
1844,0.004958970202181889
1845,-0.004396697174006703
1846,-0.0009616977573794934
1847,-0.008459871248523508
1848,-0.016509573411081002
1849,-0.0158982122913328
1850,0.0
1851,0.008475420234086928
1852,0.01361592028403219
1853,0.01361540995294351
1854,0.003999400491976807
1855,0.011251357900988024
1856,0.011439016294898185
1857,0.011857075934710484
1858,0.013378069704547982
1859,0.014949523354644528
1860,0.015111758517695306
1861,0.020654603837889432
1862,0.025041187365725512
1863,0.03153864654553484
1864,0.034861606528504785
1865,0.030577057709438735
1866,0.03847199029906814
1867,0.036073324311190647
1868,0.03372095806327592
1869,0.03864185547945083
1870,0.03671656681593759
1871,0.040944171639480914
1872,0.042061951005729736
1873,0.03382998128730756
1874,0.036320034543223995
1875,0.04346926268372339
1876,0.04254318405386838
1877,0.044801913148295805
1878,0.04811266867451748
1879,0.04306189570746846
1880,0.039154990425258135
1881,0.04201061400598578
1882,0.04405838082172876
1883,0.048760358136555826
1884,0.04980006765415301
1885,0.05300931452871227
1886,0.06174830867003239
1887,0.06087742603099888
1888,0.04956413938325005
1889,0.06103506264610449
1890,0.05415749856073317
1891,0.0628767509020362
1892,0.0722561879638393
1893,0.07883999807154471
1894,0.07157996609904056
1895,0.07317457535074376
1896,0.07616248550747674
1897,0.0685154345732932
1898,0.06610694798059058
1899,0.050023693244176076
1900,0.04950386291019346
1901,0.05636698480455095
1902,0.06316688602272022
1903,0.06092712406237777
1904,0.059973841097048175
1905,0.05654218981994349
1906,0.05603933354876371
1907,0.03484594907648787
1908,0.05999596364870173
1909,0.0645225052751188
1910,0.05889480772126697
1911,0.08028451491194795
1912,0.09005690942427058
1913,0.08542051945007384
1914,0.12222532848631071
1915,0.14690408852489112
1916,0.1391364959014054
1917,0.13885920904638827
1918,0.15671122190315312
1919,0.2263114366922913
1920,0.20664249871127616
1921,0.2812626061927802
1922,0.2864001634409435
1923,0.25656237797306053
1924,0.2759152992740746
1925,0.2812406058889121
1926,0.28055754701772506
1927,0.2647635696418838
1928,0.2722885353968565
1929,0.2519516496752513
1930,0.2814198327268377
1931,0.35087116583750877
1932,0.3947854668750841
1933,0.39015168667394673
1934,0.3615898996219774
1935,0.3512313800098353
1936,0.3377912415018284
1937,0.33346250978988357
1938,0.3848448149692281
1939,0.3670481938990432
1940,0.3471818594216952
1941,0.3465808887963151
1942,0.3408719162271957
1943,0.3492570386491226
1944,0.3661586478460057
1945,0.4395457159102254
1946,0.4579039489926486
1947,0.42628398176446625
1948,0.40875199069447415
1949,0.4268354107431508
1950,0.3922846212889919
1951,0.3998820711216581
1952,0.3882191586074251
1953,0.38706457037092434
1954,0.39001859815249634
1955,0.3665976961693622
1956,0.3335770410723758
1957,0.3205136243812809
1958,0.3458621464149097
1959,0.3392918549833178
1960,0.32852366513277526
1961,0.31841901150566904
1962,0.3374555392015703
1963,0.31488636801526004
1964,0.3442646458425828
1965,0.3457833650695172
1966,0.3643756078272555
1967,0.37253894245386643
1968,0.3894502663311651
1969,0.4079652999680291
1970,0.4014466377575738
1971,0.43012780586694843
1972,0.4333967883228223
1973,0.4908064618944448
1974,0.5344567038415053
1975,0.5740198421509495
1976,0.5574831858039488
1977,0.6098809630935502
1978,0.6502901284560703
1979,0.6827164673491464
1980,0.7449288401464268
1981,0.8193662194037507
1982,0.8306839201591457
