time,ssp585,ssp245,ssp126,ssp119
1850,0,0,0,0
1851,0,0,0,0
1852,0.000245954308139579,0.000245954308139579,0.000245954308139579,0.000245954308139579
1853,0.000674936952076532,0.000674936952076532,0.000674936952076532,0.000674936952076532
1854,0.00124023400602712,0.00124023400602712,0.00124023400602712,0.00124023400602712
1855,0.00190716627418691,0.00190716627418691,0.00190716627418691,0.00190716627418691
1856,0.00264998833480398,0.00264998833480398,0.00264998833480398,0.00264998833480398
1857,0.00344958660123854,0.00344958660123854,0.00344958660123854,0.00344958660123854
1858,0.004292346815634,0.004292346815634,0.004292346815634,0.004292346815634
1859,0.00516563531664052,0.00516563531664052,0.00516563531664052,0.00516563531664052
1860,0.00605662941016997,0.00605662941016997,0.00605662941016997,0.00605662941016997
1861,0.00695030235074888,0.00695030235074888,0.00695030235074888,0.00695030235074888
1862,0.00783416211261393,0.00783416211261393,0.00783416211261393,0.00783416211261393
1863,0.00869827995007703,0.00869827995007703,0.00869827995007703,0.00869827995007703
1864,0.00953892279075844,0.00953892279075844,0.00953892279075844,0.00953892279075844
1865,0.0103601525923246,0.0103601525923246,0.0103601525923246,0.0103601525923246
1866,0.011171522700195,0.011171522700195,0.011171522700195,0.011171522700195
1867,0.0119806691684144,0.0119806691684144,0.0119806691684144,0.0119806691684144
1868,0.0127912894233997,0.0127912894233997,0.0127912894233997,0.0127912894233997
1869,0.0136006293315836,0.0136006293315836,0.0136006293315836,0.0136006293315836
1870,0.0143975666371285,0.0143975666371285,0.0143975666371285,0.0143975666371285
1871,0.015168711150488,0.015168711150488,0.015168711150488,0.015168711150488
1872,0.0159019829507242,0.0159019829507242,0.0159019829507242,0.0159019829507242
1873,0.0165907664281603,0.0165907664281603,0.0165907664281603,0.0165907664281603
1874,0.0172360526341109,0.0172360526341109,0.0172360526341109,0.0172360526341109
1875,0.0178470651210577,0.0178470651210577,0.0178470651210577,0.0178470651210577
1876,0.018436024941691,0.018436024941691,0.018436024941691,0.018436024941691
1877,0.0190144253657873,0.0190144253657873,0.0190144253657873,0.0190144253657873
1878,0.0195882329337297,0.0195882329337297,0.0195882329337297,0.0195882329337297
1879,0.0201591060025702,0.0201591060025702,0.0201591060025702,0.0201591060025702
1880,0.0207292702315613,0.0207292702315613,0.0207292702315613,0.0207292702315613
1881,0.021306385093155,0.021306385093155,0.021306385093155,0.021306385093155
1882,0.0219046196574825,0.0219046196574825,0.0219046196574825,0.0219046196574825
1883,0.0225395192539842,0.0225395192539842,0.0225395192539842,0.0225395192539842
1884,0.0232230858255384,0.0232230858255384,0.0232230858255384,0.0232230858255384
1885,0.0239543862333224,0.0239543862333224,0.0239543862333224,0.0239543862333224
1886,0.0247204335159125,0.0247204335159125,0.0247204335159125,0.0247204335159125
1887,0.0254965043643995,0.0254965043643995,0.0254965043643995,0.0254965043643995
1888,0.0262537237985346,0.0262537237985346,0.0262537237985346,0.0262537237985346
1889,0.026967411879224,0.026967411879224,0.026967411879224,0.026967411879224
1890,0.0276248028893638,0.0276248028893638,0.0276248028893638,0.0276248028893638
1891,0.0282233779038582,0.0282233779038582,0.0282233779038582,0.0282233779038582
1892,0.0287685517902877,0.0287685517902877,0.0287685517902877,0.0287685517902877
1893,0.0292685622787108,0.0292685622787108,0.0292685622787108,0.0292685622787108
1894,0.0297254756347503,0.0297254756347503,0.0297254756347503,0.0297254756347503
1895,0.0301296706905808,0.0301296706905808,0.0301296706905808,0.0301296706905808
1896,0.0304694334660443,0.0304694334660443,0.0304694334660443,0.0304694334660443
1897,0.030736241666846,0.030736241666846,0.030736241666846,0.030736241666846
1898,0.0309323843056744,0.0309323843056744,0.0309323843056744,0.0309323843056744
1899,0.0310792722283995,0.0310792722283995,0.0310792722283995,0.0310792722283995
1900,0.0312067800750354,0.0312067800750354,0.0312067800750354,0.0312067800750354
1901,0.0313413363767617,0.0313413363767617,0.0313413363767617,0.0313413363767617
1902,0.0315145345437665,0.0315145345437665,0.0315145345437665,0.0315145345437665
1903,0.0317628072476639,0.0317628072476639,0.0317628072476639,0.0317628072476639
1904,0.0321206547932497,0.0321206547932497,0.0321206547932497,0.0321206547932497
1905,0.0326325439816794,0.0326325439816794,0.0326325439816794,0.0326325439816794
1906,0.0333414140825342,0.0333414140825342,0.0333414140825342,0.0333414140825342
1907,0.0342957854306988,0.0342957854306988,0.0342957854306988,0.0342957854306988
1908,0.0355496233701643,0.0355496233701643,0.0355496233701643,0.0355496233701643
1909,0.0371727132995919,0.0371727132995919,0.0371727132995919,0.0371727132995919
1910,0.0392375499809461,0.0392375499809461,0.0392375499809461,0.0392375499809461
1911,0.041799864425953,0.041799864425953,0.041799864425953,0.041799864425953
1912,0.0448897131482027,0.0448897131482027,0.0448897131482027,0.0448897131482027
1913,0.0484925451469638,0.0484925451469638,0.0484925451469638,0.0484925451469638
1914,0.0525512448880146,0.0525512448880146,0.0525512448880146,0.0525512448880146
1915,0.05699457233926,0.05699457233926,0.05699457233926,0.05699457233926
1916,0.0617555337840551,0.0617555337840551,0.0617555337840551,0.0617555337840551
1917,0.0667547639173453,0.0667547639173453,0.0667547639173453,0.0667547639173453
1918,0.0719288620441414,0.0719288620441414,0.0719288620441414,0.0719288620441414
1919,0.077238154541602,0.077238154541602,0.077238154541602,0.077238154541602
1920,0.0826702722045981,0.0826702722045981,0.0826702722045981,0.0826702722045981
1921,0.0882596397818555,0.0882596397818555,0.0882596397818555,0.0882596397818555
1922,0.0940564300337961,0.0940564300337961,0.0940564300337961,0.0940564300337961
1923,0.1000803418948,0.1000803418948,0.1000803418948,0.1000803418948
1924,0.106297950745644,0.106297950745644,0.106297950745644,0.106297950745644
1925,0.112621056624358,0.112621056624358,0.112621056624358,0.112621056624358
1926,0.118935146776688,0.118935146776688,0.118935146776688,0.118935146776688
1927,0.125123378882886,0.125123378882886,0.125123378882886,0.125123378882886
1928,0.131102599730753,0.131102599730753,0.131102599730753,0.131102599730753
1929,0.136806601583837,0.136806601583837,0.136806601583837,0.136806601583837
1930,0.142163616752227,0.142163616752227,0.142163616752227,0.142163616752227
1931,0.147105966472145,0.147105966472145,0.147105966472145,0.147105966472145
1932,0.151592656080012,0.151592656080012,0.151592656080012,0.151592656080012
1933,0.155638062948044,0.155638062948044,0.155638062948044,0.155638062948044
1934,0.159333984125151,0.159333984125151,0.159333984125151,0.159333984125151
1935,0.16283616494637,0.16283616494637,0.16283616494637,0.16283616494637
1936,0.166298864701234,0.166298864701234,0.166298864701234,0.166298864701234
1937,0.169847903000704,0.169847903000704,0.169847903000704,0.169847903000704
1938,0.173532011750842,0.173532011750842,0.173532011750842,0.173532011750842
1939,0.177311673851518,0.177311673851518,0.177311673851518,0.177311673851518
1940,0.181071384967368,0.181071384967368,0.181071384967368,0.181071384967368
1941,0.18464722770627,0.18464722770627,0.18464722770627,0.18464722770627
1942,0.187892675334867,0.187892675334867,0.187892675334867,0.187892675334867
1943,0.190714445681728,0.190714445681728,0.190714445681728,0.190714445681728
1944,0.193084378491792,0.193084378491792,0.193084378491792,0.193084378491792
1945,0.195030129183745,0.195030129183745,0.195030129183745,0.195030129183745
1946,0.19660574915627,0.19660574915627,0.19660574915627,0.19660574915627
1947,0.197856761659045,0.197856761659045,0.197856761659045,0.197856761659045
1948,0.198817403649025,0.198817403649025,0.198817403649025,0.198817403649025
1949,0.199509923055002,0.199509923055002,0.199509923055002,0.199509923055002
1950,0.199964764376906,0.199964764376906,0.199964764376906,0.199964764376906
