Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1865-04,-0.2681974,-1.4721097,0.93852276
1865-05,-0.2859544,-0.8697536,0.30362594
1865-06,-0.20748176,-0.82105887,0.41161108
1865-07,0.094602205,-0.39380124,0.5899323
1865-08,-0.38493088,-1.0347996,0.27017075
1865-09,0.18342331,-0.29775813,0.6716638
1865-10,-0.4761894,-1.1057273,0.1587731
1865-11,0.045194402,-0.7752995,0.86986566
1865-12,-0.47975367,-1.4004197,0.44464475
1866-01,0.64787394,-0.45143852,1.750295
1866-02,-0.57439923,-2.0760164,0.9295002
1866-03,-0.7880123,-2.3261254,0.7523422
1866-04,-0.2214381,-1.3724403,0.93255335
1866-05,-0.7996761,-1.3593606,-0.23382635
1866-06,-0.0062463596,-0.6043706,0.5976359
1866-07,-0.052968673,-0.523658,0.4250315
1866-08,-0.49709496,-1.109342,0.12080136
1866-09,-0.05940344,-0.5170588,0.40579885
1866-10,-0.91155165,-1.5190227,-0.29836118
1866-11,-0.81470275,-1.629011,0.0038751592
1866-12,-0.52859676,-1.4436151,0.39023167
1867-01,-0.56308687,-1.649945,0.5269113
1867-02,0.39626825,-1.1147912,1.9095839
1867-03,-1.8927243,-3.421185,-0.36202815
1867-04,-0.6341207,-1.8091019,0.5437745
1867-05,-1.2560143,-1.816366,-0.6895658
1867-06,-0.33362797,-0.9349358,0.27337775
1867-07,-0.3970946,-0.8628426,0.076002784
1867-08,-0.3114523,-0.93943524,0.32201242
1867-09,-0.1684656,-0.6205857,0.29125172
1867-10,-0.14988814,-0.7502035,0.45618206
1867-11,-0.64001846,-1.4311795,0.15554608
1867-12,-1.1549572,-2.0440075,-0.26199386
1868-01,-1.2954646,-2.3294373,-0.2581773
1868-02,-0.941556,-2.388924,0.50818694
1868-03,-0.33238783,-1.7957611,1.133339
1868-04,-0.8360723,-1.9421502,0.27312323
1868-05,0.11904504,-0.40775302,0.6523712
1868-06,0.06609897,-0.5235673,0.6616194
1868-07,0.31497857,-0.14265276,0.7801085
1868-08,0.07277452,-0.5224441,0.67381054
1868-09,-0.42043585,-0.866542,0.03342088
1868-10,-0.21136443,-0.8078116,0.39089552
1868-11,-1.158523,-1.9524697,-0.3601922
1868-12,-0.3055161,-1.1722376,0.56521624
1869-01,-0.2003285,-1.1956555,0.7984211
1869-02,0.735121,-0.6374079,2.1101394
1869-03,-1.1324034,-2.521553,0.2592115
1869-04,-0.42383698,-1.5095724,0.66505766
1869-05,-0.45076466,-0.96705425,0.07215041
1869-06,-0.483357,-1.0683337,0.107470326
1869-07,-0.40859315,-0.86620414,0.05649898
1869-08,0.14802216,-0.45773098,0.75945884
1869-09,-0.06446936,-0.5104544,0.38921183
1869-10,-0.9735256,-1.5595715,-0.38158974
1869-11,-0.7133693,-1.4924208,0.0701328
1869-12,-0.5521662,-1.3497411,0.2497653
1870-01,-0.010328654,-0.9464111,0.9293786
1870-02,-1.1765976,-2.4710662,0.12050035
1870-03,-1.0823965,-2.395846,0.23365323
1870-04,-0.53991777,-1.5792917,0.50274795
1870-05,-0.14702973,-0.66651666,0.37902516
1870-06,-0.038297866,-0.62756974,0.5567862
1870-07,0.0048752697,-0.45001057,0.46727982
1870-08,-0.74723697,-1.3294202,-0.15915367
1870-09,-0.3101067,-0.76709455,0.15428993
1870-10,-0.571574,-1.1173677,-0.019471543
1870-11,-0.13158041,-0.8581507,0.59975076
1870-12,-1.7797378,-2.5424123,-1.012517
1871-01,-1.2083341,-2.1291416,-0.2838596
1871-02,-1.240967,-2.55333,0.073976986
1871-03,-0.20954601,-1.4841497,1.067721
