,ClimTrace_GSAT,ERA5 (C3S-CDS),ClimTrace_GSAT_1sigma
1950,0.14763263258121295,0.14792771216414857,0.053362863683737355
1951,0.26143292776058424,0.2819277121641486,0.04622312116099965
1952,0.31135399269333097,0.25892771216414856,0.050329902330292234
1953,0.35460359741816994,0.34092771216414863,0.05042355136218217
1954,0.21243639461815364,0.14392771216414857,0.04720005517557807
1955,0.1920267822560757,0.12692771216414855,0.04514545683812942
1956,0.12228378006510998,0.06192771216414861,0.04024165628227223
1957,0.2847485967080903,0.3149277121641486,0.036267744519072186
1958,0.2468833611387727,0.38092771216414856,0.036205609652382585
1959,0.2871321892035767,0.34692771216414864,0.03512836321833679
1960,0.23203324246805235,0.2969277121641486,0.03345548381681281
1961,0.3280995707810215,0.37592771216414855,0.030889670706495547
1962,0.30034189712084114,0.3159277121641486,0.0316681732813132
1963,0.32905395118777914,0.35292771216414853,0.03200655766616503
1964,0.20325125814435563,0.13692771216414856,0.027718097584603203
1965,0.20782641852157382,0.20492771216414862,0.029743789547889466
1966,0.1718357723591744,0.2819277121641486,0.029742204613702042
1967,0.2697559370879495,0.2969277121641486,0.027835985688616623
1968,0.22025248902870515,0.22892771216414853,0.02813768117150877
1969,0.2878838143562891,0.36492771216414854,0.027042312434402374
1970,0.2820301503787416,0.33692771216414863,0.0271725108797788
1971,0.22864257392301743,0.1839277121641486,0.026099352201282087
1972,0.28532027077588046,0.3149277121641486,0.026166434225231284
1973,0.3845768129770909,0.4209277121641486,0.026382375892246675
1974,0.269294882505256,0.14792771216414857,0.02601421540655625
1975,0.3317519433473888,0.1709277121641486,0.027320699223632363
1976,0.23186516801300813,0.09792771216414864,0.026594960250809013
1977,0.4324054224490535,0.38892771216414856,0.0288667510577169
1978,0.3444877409603681,0.3299277121641486,0.027173352307153207
1979,0.43664920155865694,0.4869277121641486,0.024549081411575194
1980,0.5535712251183896,0.6109277121641485,0.027008925291807862
1981,0.610751395561083,0.6499277121641486,0.026956934821659766
1982,0.3936014091518307,0.45092771216414856,0.027368509495118116
1983,0.5938361831192397,0.6439277121641486,0.02814902407918396
1984,0.5318437596747375,0.4289277121641486,0.027690413572591777
1985,0.48019599708364646,0.39292771216414857,0.026487570570545637
1986,0.4860757862705391,0.4799277121641486,0.02576491394858495
1987,0.5269333631276581,0.6359277121641486,0.026067648845512104
1988,0.6537486707140044,0.6649277121641486,0.028660211054644457
1989,0.6095972652730579,0.5499277121641486,0.028042049171272492
1990,0.7063874855300272,0.7829277121641486,0.02955269836922191
1991,0.662996441314801,0.7259277121641485,0.02870202624606562
1992,0.6018414858291015,0.4899277121641486,0.027750151268385082
1993,0.6841001165001632,0.5399277121641486,0.029687373341257768
1994,0.6395387655975876,0.5779277121641486,0.028496619113463517
1995,0.7265672888304987,0.7529277121641486,0.029071682211395514
1996,0.6618071498703827,0.6199277121641487,0.028325106007071266
1997,0.7420325783645969,0.7479277121641486,0.02902728156767326
1998,0.8607148612464273,0.9349277121641486,0.031197047030394543
1999,0.7595798660663152,0.6649277121641486,0.02912628240348661
2000,0.7566496302114893,0.6589277121641486,0.029383969256168433
2001,0.8525027871317313,0.8299277121641486,0.03034809515911253
2002,0.8914147071426806,0.9199277121641486,0.030812544637385877
2003,0.857600048413768,0.9059277121641486,0.030825500983830804
2004,0.8036525813847514,0.8369277121641486,0.03007652867979632
2005,0.9400288907920656,1.0079277121641486,0.031667079291909574
2006,0.9586144230851066,0.9559277121641486,0.03183388082278686
2007,0.932246200223557,0.9499277121641486,0.03136881632934027
2008,0.8970103450588661,0.8139277121641486,0.03142544141584205
2009,0.9687437037741226,0.9489277121641486,0.03219967080071845
2010,1.0127360417327749,1.0439277121641486,0.03285497859870504
2011,0.9682611379668528,0.9039277121641486,0.03222947480025637
2012,0.9767923823704903,0.9489277121641486,0.032598879125031816
2013,0.9804296809741523,0.9809277121641486,0.03319559692616508
2014,1.0447384879588681,1.0219277121641486,0.03395737634471812
2015,1.1320320152092107,1.1699277121641485,0.03536921861821656
2016,1.2524876561867853,1.3479277121641486,0.036924221587169515
2017,1.2279704569772347,1.2569277121641487,0.03634380143016188
2018,1.178990872236197,1.1779277121641485,0.035714341112075866
2019,1.2464014969298685,1.3139277121641486,0.03743135883007804
2020,1.3184887034925732,1.3399277121641486,0.038776303246528684
2021,1.2151620181748493,1.1889277121641486,0.03734786678133895
2022,1.2680675583257004,1.2159277121641485,0.03817730807078904
2023,1.501941358812333,1.5159277121641486,0.04291988487795757
