,1991-2023,average
0.0,0.3880509927867224,0.3880509927867224
100.0,0.33945291460982563,0.33945291460982563
200.0,0.32315264310680214,0.32315264310680214
300.0,0.3250332625355307,0.3250332625355307
400.0,0.3309778571538799,0.3309778571538799
500.0,0.3301934149480337,0.3301934149480337
600.0,0.32518253881739684,0.32518253881739684
700.0,0.32056141726644566,0.32056141726644566
800.0,0.3161049663066595,0.3161049663066595
900.0,0.3107252289123981,0.3107252289123981
1000.0,0.30472402840253077,0.30472402840253077
1100.0,0.29864016789797493,0.29864016789797493
1200.0,0.2925705893833578,0.2925705893833578
1300.0,0.2865364246496846,0.2865364246496846
1400.0,0.28069742584976637,0.28069742584976637
1500.0,0.27521465478624324,0.27521465478624324
1600.0,0.27011579149923726,0.27011579149923726
1700.0,0.2654079521591205,0.2654079521591205
1800.0,0.2611493792197847,0.2611493792197847
1900.0,0.25738893258845624,0.25738893258845624
2000.0,0.25408681570216807,0.25408681570216807
2100.0,0.2511819633793818,0.2511819633793818
2200.0,0.2486168924344269,0.2486168924344269
2300.0,0.24632510089593673,0.24632510089593673
2400.0,0.24420042965383024,0.24420042965383024
2500.0,0.2421970840421337,0.2421970840421337
2600.0,0.24055038430993092,0.24055038430993092
2700.0,0.23945278156761957,0.23945278156761957
2800.0,0.23864413545574278,0.23864413545574278
2900.0,0.2378186792043885,0.2378186792043885
3000.0,0.23694073187165882,0.23694073187165882
3100.0,0.23607204368052817,0.23607204368052817
3200.0,0.2353940036853622,0.2353940036853622
3300.0,0.2350492839817914,0.2350492839817914
3400.0,0.23490604999907266,0.23490604999907266
3500.0,0.23482052292486083,0.23482052292486083
3600.0,0.2348756536467828,0.2348756536467828
3700.0,0.2351131170366225,0.2351131170366225
3800.0,0.23518275420284962,0.23518275420284962
3900.0,0.2347899879495418,0.2347899879495418
4000.0,0.2342544016266136,0.2342544016266136
4100.0,0.23398349526179693,0.23398349526179693
4200.0,0.23412227504821792,0.23412227504821792
4300.0,0.23466621814481284,0.23466621814481284
4400.0,0.23527517940837717,0.23527517940837717
4500.0,0.23565860283260073,0.23565860283260073
4600.0,0.2360599112609835,0.2360599112609835
4700.0,0.23676222013412618,0.23676222013412618
