,1991-2023,average
0.0,0.2508457998938179,0.2508457998938179
100.0,0.23713946699539193,0.23713946699539193
200.0,0.23095946939696269,0.23095946939696269
300.0,0.22865516066332023,0.22865516066332023
400.0,0.22657589435925202,0.22657589435925202
500.0,0.22210344570416932,0.22210344570416932
600.0,0.21674927653596868,0.21674927653596868
700.0,0.21244287204471538,0.21244287204471538
800.0,0.20865612421063906,0.20865612421063906
900.0,0.20449473184773975,0.20449473184773975
1000.0,0.20005721431495763,0.20005721431495763
1100.0,0.19576850877952576,0.19576850877952576
1200.0,0.19236640309698494,0.19236640309698494
1300.0,0.19050145087841502,0.19050145087841502
1400.0,0.1901624180688144,0.1901624180688144
1500.0,0.19120119237628058,0.19120119237628058
1600.0,0.1935839362274117,0.1935839362274117
1700.0,0.19722344506084216,0.19722344506084216
1800.0,0.2017047716448353,0.2017047716448353
1900.0,0.20655816202720337,0.20655816202720337
2000.0,0.21142237804426522,0.21142237804426522
2100.0,0.2160299372003094,0.2160299372003094
2200.0,0.22037986388298408,0.22037986388298408
2300.0,0.2245357215038786,0.2245357215038786
2400.0,0.2285527226870386,0.2285527226870386
2500.0,0.23237946114333452,0.23237946114333452
2600.0,0.2355464057185823,0.2355464057185823
2700.0,0.23771796377977983,0.23771796377977983
2800.0,0.23951242164379988,0.23951242164379988
2900.0,0.24160566763314367,0.24160566763314367
3000.0,0.24395011914309134,0.24395011914309134
3100.0,0.24625329494457313,0.24625329494457313
3200.0,0.24796659023841194,0.24796659023841194
3300.0,0.2487158258240338,0.2487158258240338
3400.0,0.24908064846542505,0.24908064846542505
3500.0,0.24971973112323728,0.24971973112323728
3600.0,0.2506540255802033,0.2506540255802033
3700.0,0.2516286199763251,0.2516286199763251
3800.0,0.25192286905860906,0.25192286905860906
3900.0,0.2510080792161223,0.2510080792161223
4000.0,0.24958909679917027,0.24958909679917027
4100.0,0.2484950430910044,0.2484950430910044
4200.0,0.24781859914548368,0.24781859914548368
4300.0,0.24738370582910196,0.24738370582910196
4400.0,0.24667578348835653,0.24667578348835653
4500.0,0.24530539958320047,0.24530539958320047
4600.0,0.24372223054746175,0.24372223054746175
4700.0,0.2424248943074242,0.2424248943074242
4800.0,0.2412686657852994,0.2412686657852994
4900.0,0.24006481254432593,0.24006481254432593
5000.0,0.23909191571588573,0.23909191571588573
5100.0,0.2386701927035004,0.2386701927035004
5200.0,0.2388190924310975,0.2388190924310975
5300.0,0.23944867966766523,0.23944867966766523
5400.0,0.24033225104208483,0.24033225104208483
5500.0,0.2412264368066615,0.2412264368066615
5600.0,0.24195796984760692,0.24195796984760692
5700.0,0.24252193725347365,0.24252193725347365
5800.0,0.24351674028823792,0.24351674028823792
5900.0,0.24546022384301297,0.24546022384301297
6000.0,0.24794469314198953,0.24794469314198953
6100.0,0.2504599676473397,0.2504599676473397
6200.0,0.2530114634401023,0.2530114634401023
6300.0,0.2556699352218653,0.2556699352218653
6400.0,0.25825189555754396,0.25825189555754396
6500.0,0.26065817664241153,0.26065817664241153
6600.0,0.26338113132986996,0.26338113132986996
6700.0,0.2668474711442763,0.2668474711442763
6800.0,0.27062982163572846,0.27062982163572846
6900.0,0.27423237637334974,0.27423237637334974
7000.0,0.2777396869766569,0.2777396869766569
7100.0,0.2813180778073311,0.2813180778073311
7200.0,0.28488060614533844,0.28488060614533844
7300.0,0.2883694776811815,0.2883694776811815
7400.0,0.29209675882922703,0.29209675882922703
7500.0,0.2962243124279347,0.2962243124279347
7600.0,0.29994332628824716,0.29994332628824716
7700.0,0.30250314121256555,0.30250314121256555
7800.0,0.30435638499656226,0.30435638499656226
7900.0,0.306112526110329,0.306112526110329
8000.0,0.3078051087283541,0.3078051087283541
8100.0,0.30933839390273954,0.30933839390273954
8200.0,0.31067543449171825,0.31067543449171825
8300.0,0.31187094857855047,0.31187094857855047
8400.0,0.3132875233405414,0.3132875233405414
8500.0,0.3150578382745444,0.3150578382745444
8600.0,0.31608707306158673,0.31608707306158673
8700.0,0.3154048670012449,0.3154048670012449
8800.0,0.3137661976831657,0.3137661976831657
8900.0,0.31210205950583986,0.31210205950583986
9000.0,0.3103221758131031,0.3103221758131031
9100.0,0.30819013647068016,0.30819013647068016
9200.0,0.3059062684865267,0.3059062684865267
9300.0,0.3037171225705248,0.3037171225705248
9400.0,0.3016174070980742,0.3016174070980742
9500.0,0.2995582423694584,0.2995582423694584
9600.0,0.2975682387190697,0.2975682387190697
9700.0,0.2955857054711287,0.2955857054711287
9800.0,0.29311025787513845,0.29311025787513845
9900.0,0.2897256600382444,0.2897256600382444
10000.0,0.28579096557287276,0.28579096557287276
10100.0,0.2817243587212884,0.2817243587212884
10200.0,0.2774052567397806,0.2774052567397806
10300.0,0.27268577314764875,0.27268577314764875
10400.0,0.2678475735021531,0.2678475735021531
10500.0,0.2632037254814269,0.2632037254814269
10600.0,0.2587633532090818,0.2587633532090818
10700.0,0.25447243000690767,0.25447243000690767
10800.0,0.2503282695439384,0.2503282695439384
10900.0,0.24628852573425383,0.24628852573425383
11000.0,0.2421008731248625,0.2421008731248625
11100.0,0.2375916834645732,0.2375916834645732
11200.0,0.23311209667648264,0.23311209667648264
11300.0,0.22903838120480371,0.22903838120480371
11400.0,0.22532255140396285,0.22532255140396285
11500.0,0.22184763605459923,0.22184763605459923
11600.0,0.21864497573205016,0.21864497573205016
11700.0,0.21569985892033194,0.21569985892033194
11800.0,0.21266505394355317,0.21266505394355317
11900.0,0.2092421720706768,0.2092421720706768
12000.0,0.2056607165100766,0.2056607165100766
12100.0,0.20223792899735077,0.20223792899735077
12200.0,0.19911411343764523,0.19911411343764523
12300.0,0.19640345569423245,0.19640345569423245
12400.0,0.19429260729339332,0.19429260729339332
12500.0,0.19289191266145614,0.19289191266145614
12600.0,0.19193402216193506,0.19193402216193506
12700.0,0.19106672557358073,0.19106672557358073
12800.0,0.1899760643989193,0.1899760643989193
12900.0,0.18843141777719033,0.18843141777719033
13000.0,0.1864972636707533,0.1864972636707533
13100.0,0.18431729129590482,0.18431729129590482
13200.0,0.18205693606161627,0.18205693606161627
13300.0,0.1799500651629257,0.1799500651629257
13400.0,0.1784825267465071,0.1784825267465071
13500.0,0.17799889474537045,0.17799889474537045
13600.0,0.1780266652862713,0.1780266652862713
13700.0,0.17800951638912754,0.17800951638912754
13800.0,0.17787293145276703,0.17787293145276703
13900.0,0.1775189009842048,0.1775189009842048
14000.0,0.17627363854428513,0.17627363854428513
14100.0,0.1736213271098212,0.1736213271098212
14200.0,0.17025380426763007,0.17025380426763007
14300.0,0.16711192177511658,0.16711192177511658
14400.0,0.16492493346201012,0.16492493346201012
14500.0,0.1641044509086681,0.1641044509086681
14600.0,0.16400311462558836,0.16400311462558836
14700.0,0.16383073270790594,0.16383073270790594
14800.0,0.16328475465911535,0.16328475465911535
14900.0,0.16238327294219818,0.16238327294219818
15000.0,0.1619393104497534,0.1619393104497534
15100.0,0.16186724342878292,0.16186724342878292
15200.0,0.15769193111427046,0.15769193111427046
15300.0,0.14614577327340328,0.14614577327340328
15400.0,0.13318084881420622,0.13318084881420622
15500.0,0.12496655533955364,0.12496655533955364
15600.0,0.11932188609093491,0.11932188609093491
15700.0,0.1128908820880754,0.1128908820880754
15800.0,0.10596817982505989,0.10596817982505989
15900.0,0.09939832369334559,0.09939832369334559
16000.0,0.09257489419951963,0.09257489419951963
16100.0,0.08508011406855714,0.08508011406855714
16200.0,0.07870173878386601,0.07870173878386601
16300.0,0.07378599519365038,0.07378599519365038
16400.0,0.06270746284682298,0.06270746284682298
16500.0,0.039794573800487475,0.039794573800487475
16600.0,0.015162817443774379,0.015162817443774379
16700.0,-0.0004119284794580597,-0.0004119284794580597
16800.0,-0.009299290138480317,-0.009299290138480317
16900.0,-0.016315615776160284,-0.016315615776160284
17000.0,-0.022918638016624603,-0.022918638016624603
17100.0,-0.029603940468727084,-0.029603940468727084
17200.0,-0.036377126298962295,-0.036377126298962295
17300.0,-0.04314516052812055,-0.04314516052812055
17400.0,-0.04991043603650932,-0.04991043603650932
17500.0,-0.05669530383350914,-0.05669530383350914
17600.0,-0.0635065195852444,-0.0635065195852444
17700.0,-0.07033979534343411,-0.07033979534343411
17800.0,-0.07716226404540005,-0.07716226404540005
17900.0,-0.08396981420357164,-0.08396981420357164
18000.0,-0.09090193574518135,-0.09090193574518135
18100.0,-0.09800530980051986,-0.09800530980051986
18200.0,-0.1048117808972951,-0.1048117808972951
18300.0,-0.11123690185513557,-0.11123690185513557
18400.0,-0.11924589526388127,-0.11924589526388127
18500.0,-0.13036816855930589,-0.13036816855930589
18600.0,-0.1423401987906877,-0.1423401987906877
18700.0,-0.15244973151532762,-0.15244973151532762
18800.0,-0.15998251670912605,-0.15998251670912605
18900.0,-0.1650338034896235,-0.1650338034896235
19000.0,-0.16893883312232605,-0.16893883312232605
19100.0,-0.1730181946046701,-0.1730181946046701
19200.0,-0.17729387571383315,-0.17729387571383315
19300.0,-0.18152759554444206,-0.18152759554444206
19400.0,-0.18573859968119152,-0.18573859968119152
19500.0,-0.18999363327926758,-0.18999363327926758
19600.0,-0.1942919132857811,-0.1942919132857811
19700.0,-0.19862081089794092,-0.19862081089794092
19800.0,-0.20298784252144175,-0.20298784252144175
20000.0,-0.21188651863371227,-0.21188651863371227
