,1991-2023,average
0.0,0.020844405067023467,0.020844405067023467
100.0,0.020250946356449008,0.020250946356449008
200.0,0.020508990199122733,0.020508990199122733
300.0,0.020750309990103383,0.020750309990103383
400.0,0.020968649415833734,0.020968649415833734
500.0,0.021215749371446345,0.021215749371446345
600.0,0.02146835576540716,0.02146835576540716
700.0,0.02170029434840673,0.02170029434840673
800.0,0.021933805408901556,0.021933805408901556
900.0,0.02220377008839272,0.02220377008839272
1000.0,0.02252126211809033,0.02252126211809033
1100.0,0.022884655647484247,0.022884655647484247
1200.0,0.02327627462513388,0.02327627462513388
1300.0,0.02367703570942125,0.02367703570942125
1400.0,0.02408099225981953,0.02408099225981953
1500.0,0.024486573893488347,0.024486573893488347
1600.0,0.024896821742065246,0.024896821742065246
1700.0,0.02530964868028436,0.02530964868028436
1800.0,0.025685383612571944,0.025685383612571944
1900.0,0.025984624139180085,0.025984624139180085
2000.0,0.026244295476341026,0.026244295476341026
2100.0,0.026505879856794038,0.026505879856794038
2200.0,0.026758496049388018,0.026758496049388018
2300.0,0.02699027228782614,0.02699027228782614
2400.0,0.027221676790574266,0.027221676790574266
2500.0,0.027471576093614242,0.027471576093614242
2600.0,0.027722670184098193,0.027722670184098193
2700.0,0.027954229041102684,0.027954229041102684
2800.0,0.02817021767360635,0.02817021767360635
2900.0,0.02838449387483328,0.02838449387483328
3000.0,0.0286235663974809,0.0286235663974809
3100.0,0.028902808190215228,0.028902808190215228
3200.0,0.02918343867717393,0.02918343867717393
3300.0,0.029427232420308563,0.029427232420308563
3400.0,0.029652513901175938,0.029652513901175938
3500.0,0.029885920798095135,0.029885920798095135
3600.0,0.03013097967466815,0.03013097967466815
3700.0,0.03037596194726956,0.03037596194726956
3800.0,0.030570004488867465,0.030570004488867465
3900.0,0.030673787816323305,0.030673787816323305
4000.0,0.030737353186019657,0.030737353186019657
4100.0,0.03081753842081956,0.03081753842081956
4200.0,0.03090943655276815,0.03090943655276815
4300.0,0.03099706207430507,0.03099706207430507
