time,ssp585,ssp245,ssp126,ssp119
1877,0.0267676863154659,0.0267676863154659,0.0267676863154659,0.0267676863154659
1878,0.0212674391184181,0.0212674391184181,0.0212674391184181,0.0212674391184181
1879,0.0167058403818209,0.0167058403818209,0.0167058403818209,0.0167058403818209
1880,0.0125485230145525,0.0125485230145525,0.0125485230145525,0.0125485230145525
1881,0.0084277713649305,0.0084277713649305,0.0084277713649305,0.0084277713649305
1882,0.0041457653518502,0.0041457653518502,0.0041457653518502,0.0041457653518502
1883,-5.945194104449627e-05,-5.945194104449627e-05,-5.945194104449627e-05,-5.945194104449627e-05
1884,-0.004018885627478,-0.004018885627478,-0.004018885627478,-0.004018885627478
1885,-0.00820907480363,-0.00820907480363,-0.00820907480363,-0.00820907480363
1886,-0.0130521127468121,-0.0130521127468121,-0.0130521127468121,-0.0130521127468121
1887,-0.0184111914730576,-0.0184111914730576,-0.0184111914730576,-0.0184111914730576
1888,-0.0242063746438897,-0.0242063746438897,-0.0242063746438897,-0.0242063746438897
1889,-0.0295556516155877,-0.0295556516155877,-0.0295556516155877,-0.0295556516155877
1890,-0.0339278643653544,-0.0339278643653544,-0.0339278643653544,-0.0339278643653544
1891,-0.0375494475120713,-0.0375494475120713,-0.0375494475120713,-0.0375494475120713
1892,-0.0404976372865151,-0.0404976372865151,-0.0404976372865151,-0.0404976372865151
1893,-0.0428746005266658,-0.0428746005266658,-0.0428746005266658,-0.0428746005266658
1894,-0.0448455159172855,-0.0448455159172855,-0.0448455159172855,-0.0448455159172855
1895,-0.0462224664379123,-0.0462224664379123,-0.0462224664379123,-0.0462224664379123
1896,-0.0476468150961251,-0.0476468150961251,-0.0476468150961251,-0.0476468150961251
1897,-0.0498185573926122,-0.0498185573926122,-0.0498185573926122,-0.0498185573926122
1898,-0.0535052688927003,-0.0535052688927003,-0.0535052688927003,-0.0535052688927003
1899,-0.0588109701065663,-0.0588109701065663,-0.0588109701065663,-0.0588109701065663
1900,-0.0648314324183324,-0.0648314324183324,-0.0648314324183324,-0.0648314324183324
1901,-0.0698479427533611,-0.0698479427533611,-0.0698479427533611,-0.0698479427533611
1902,-0.072455503448947,-0.072455503448947,-0.072455503448947,-0.072455503448947
1903,-0.0726242925732428,-0.0726242925732428,-0.0726242925732428,-0.0726242925732428
