time,ssp585,ssp245,ssp126,ssp119
1850,0.009892961055525283,0.009892961055525283,0.009892961055525283,0.009892961055525283
1851,0.008689999638894056,0.008689999638894056,0.008689999638894056,0.008689999638894056
1852,0.007487038222262923,0.007487038222262923,0.007487038222262923,0.007487038222262923
1853,0.006284076805631793,0.006284076805631793,0.006284076805631793,0.006284076805631793
1854,0.0050811153890006604,0.0050811153890006604,0.0050811153890006604,0.0050811153890006604
1855,0.003878153972369528,0.003878153972369528,0.003878153972369528,0.003878153972369528
1856,0.002675192555738396,0.002675192555738396,0.002675192555738396,0.002675192555738396
1857,0.0017592534906060377,0.0017592534906060377,0.0017592534906060377,0.0017592534906060377
1858,0.0013477920621982075,0.0013477920621982075,0.0013477920621982075,0.0013477920621982075
1859,0.001151264273684528,0.001151264273684528,0.001151264273684528,0.001151264273684528
1860,0.0008635194236992452,0.0008635194236992452,0.0008635194236992452,0.0008635194236992452
1861,0.0001871671632265094,0.0001871671632265094,0.0001871671632265094,0.0001871671632265094
1862,-0.0012110874537821696,-0.0012110874537821696,-0.0012110874537821696,-0.0012110874537821696
1863,-0.003510550455616792,-0.003510550455616792,-0.003510550455616792,-0.003510550455616792
1864,-0.005525784210692358,-0.005525784210692358,-0.005525784210692358,-0.005525784210692358
1865,-0.005755679366083207,-0.005755679366083207,-0.005755679366083207,-0.005755679366083207
1866,-0.0034758668085133958,-0.0034758668085133958,-0.0034758668085133958,-0.0034758668085133958
1867,0.001478341226836698,0.001478341226836698,0.001478341226836698,0.001478341226836698
1868,0.008502615446892263,0.008502615446892263,0.008502615446892263,0.008502615446892263
1869,0.01655593963080858,0.01655593963080858,0.01655593963080858,0.01655593963080858
1870,0.024590657158675658,0.024590657158675658,0.024590657158675658,0.024590657158675658
1871,0.03175222448274773,0.03175222448274773,0.03175222448274773,0.03175222448274773
1872,0.036860906955331695,0.036860906955331695,0.036860906955331695,0.036860906955331695
1873,0.03949746281247773,0.03949746281247773,0.03949746281247773,0.03949746281247773
1874,0.03928808810447726,0.03928808810447726,0.03928808810447726,0.03928808810447726
1875,0.036176810221438205,0.036176810221438205,0.036176810221438205,0.036176810221438205
1876,0.03106613053272792,0.03106613053272792,0.03106613053272792,0.03106613053272792
1877,0.025252534259873487,0.025252534259873487,0.025252534259873487,0.025252534259873487
1878,0.020063621809828396,0.020063621809828396,0.020063621809828396,0.020063621809828396
1879,0.015760226775302734,0.015760226775302734,0.015760226775302734,0.015760226775302734
1880,0.011838229259011792,0.011838229259011792,0.011838229259011792,0.011838229259011792
1881,0.007950727702764622,0.007950727702764622,0.007950727702764622,0.007950727702764622
1882,0.003911099388537924,0.003911099388537924,0.003911099388537924,0.003911099388537924
1883,-5.608673683443044e-05,-5.608673683443044e-05,-5.608673683443044e-05,-5.608673683443044e-05
1884,-0.0037914015353566035,-0.0037914015353566035,-0.0037914015353566035,-0.0037914015353566035
1885,-0.007744410192103772,-0.007744410192103772,-0.007744410192103772,-0.007744410192103772
1886,-0.012313313912086885,-0.012313313912086885,-0.012313313912086885,-0.012313313912086885
1887,-0.0173690485594883,-0.0173690485594883,-0.0173690485594883,-0.0173690485594883
1888,-0.022836202494235566,-0.022836202494235566,-0.022836202494235566,-0.022836202494235566
1889,-0.02788269020338462,-0.02788269020338462,-0.02788269020338462,-0.02788269020338462
1890,-0.03200741921259849,-0.03200741921259849,-0.03200741921259849,-0.03200741921259849
1891,-0.035424007086859714,-0.035424007086859714,-0.035424007086859714,-0.035424007086859714
1892,-0.03820531819482556,-0.03820531819482556,-0.03820531819482556,-0.03820531819482556
1893,-0.04044773634591113,-0.04044773634591113,-0.04044773634591113,-0.04044773634591113
1894,-0.04230709048800518,-0.04230709048800518,-0.04230709048800518,-0.04230709048800518
1895,-0.04360610041312481,-0.04360610041312481,-0.04360610041312481,-0.04360610041312481
1896,-0.04494982556238217,-0.04494982556238217,-0.04494982556238217,-0.04494982556238217
1897,-0.046998639049634146,-0.046998639049634146,-0.046998639049634146,-0.046998639049634146
1898,-0.05047666876669839,-0.05047666876669839,-0.05047666876669839,-0.05047666876669839
1899,-0.055482047270345565,-0.055482047270345565,-0.055482047270345565,-0.055482047270345565
1900,-0.06116172869654,-0.06116172869654,-0.06116172869654,-0.06116172869654
1901,-0.06589428561637839,-0.06589428561637839,-0.06589428561637839,-0.06589428561637839
1902,-0.06835424853674243,-0.06835424853674243,-0.06835424853674243,-0.06835424853674243
1903,-0.06851348355966301,-0.06851348355966301,-0.06851348355966301,-0.06851348355966301
1904,-0.06763521421191453,-0.06763521421191453,-0.06763521421191453,-0.06763521421191453
1905,-0.06701697055789593,-0.06701697055789593,-0.06701697055789593,-0.06701697055789593
1906,-0.06761950769400697,-0.06761950769400697,-0.06761950769400697,-0.06761950769400697
1907,-0.07004378410194773,-0.07004378410194773,-0.07004378410194773,-0.07004378410194773
1908,-0.0735750136915463,-0.0735750136915463,-0.0735750136915463,-0.0735750136915463
1909,-0.07718057793462385,-0.07718057793462385,-0.07718057793462385,-0.07718057793462385
1910,-0.07957103550077414,-0.07957103550077414,-0.07957103550077414,-0.07957103550077414
1911,-0.07944289052494706,-0.07944289052494706,-0.07944289052494706,-0.07944289052494706
1912,-0.0767621895107366,-0.0767621895107366,-0.0767621895107366,-0.0767621895107366
1913,-0.07206737628448433,-0.07206737628448433,-0.07206737628448433,-0.07206737628448433
1914,-0.06551407583507357,-0.06551407583507357,-0.06551407583507357,-0.06551407583507357
1915,-0.05749338710979084,-0.05749338710979084,-0.05749338710979084,-0.05749338710979084
