,1991-2023,average
0.0,0.016392582035553466,0.016392582035553466
100.0,0.01779053321925953,0.01779053321925953
200.0,0.018580583702024187,0.018580583702024187
300.0,0.018884382479516394,0.018884382479516394
400.0,0.019103911061822174,0.019103911061822174
500.0,0.0195063287304012,0.0195063287304012
600.0,0.01999750943256263,0.01999750943256263
700.0,0.020444407291775605,0.020444407291775605
800.0,0.020862055429301904,0.020862055429301904
900.0,0.02129565230942775,0.02129565230942775
1000.0,0.021769086760439794,0.021769086760439794
1100.0,0.02229045828398412,0.02229045828398412
1200.0,0.02283687822743933,0.02283687822743933
1300.0,0.023379168813984445,0.023379168813984445
1400.0,0.02390856305747932,0.02390856305747932
1500.0,0.024425199077011375,0.024425199077011375
1600.0,0.024937944296865973,0.024937944296865973
1700.0,0.025449398564662513,0.025449398564662513
1800.0,0.0259029196934395,0.0259029196934395
1900.0,0.026238479805699634,0.026238479805699634
2000.0,0.026516006086848776,0.026516006086848776
2100.0,0.026800601307620135,0.026800601307620135
2200.0,0.02707714897901004,0.02707714897901004
2300.0,0.02732961238301259,0.02732961238301259
2400.0,0.02758282380449109,0.02758282380449109
2500.0,0.027855654663436993,0.027855654663436993
2600.0,0.0281078926507939,0.0281078926507939
2700.0,0.028300410137333667,0.028300410137333667
2800.0,0.028462129009877726,0.028462129009877726
2900.0,0.0286370102648199,0.0286370102648199
3000.0,0.028854355214381393,0.028854355214381393
3100.0,0.02912000136192011,0.02912000136192011
3200.0,0.029368207372917718,0.029368207372917718
3300.0,0.029541010620846294,0.029541010620846294
3400.0,0.029679308416281434,0.029679308416281434
3500.0,0.029837522626279676,0.029837522626279676
3600.0,0.03002783211392041,0.03002783211392041
3700.0,0.03023587662035713,0.03023587662035713
3800.0,0.030382833091158537,0.030382833091158537
3900.0,0.030406473606079204,0.030406473606079204
4000.0,0.030377124882750246,0.030377124882750246
4100.0,0.030376202637097893,0.030376202637097893
4200.0,0.03039741254295415,0.03039741254295415
4300.0,0.03042096104203313,0.03042096104203313
4400.0,0.030457060559537886,0.030457060559537886
4500.0,0.030518944216166338,0.030518944216166338
4600.0,0.030609783087091322,0.030609783087091322
4700.0,0.030725590899412118,0.030725590899412118
4800.0,0.03084320814177598,0.03084320814177598
4900.0,0.030951744735201212,0.030951744735201212
5000.0,0.031105564135734814,0.031105564135734814
5100.0,0.03135266914643666,0.03135266914643666
5200.0,0.031655286698721564,0.031655286698721564
5300.0,0.031965319209815206,0.031965319209815206
5400.0,0.032276347140021665,0.032276347140021665
5500.0,0.03258943902236064,0.03258943902236064
5600.0,0.03289475895611065,0.03289475895611065
5700.0,0.03319389570733075,0.03319389570733075
5800.0,0.0335435703117527,0.0335435703117527
5900.0,0.03398474387353728,0.03398474387353728
6000.0,0.03444357252834884,0.03444357252834884
6100.0,0.034844147295025676,0.034844147295025676
6200.0,0.03521764076785725,0.03521764076785725
6300.0,0.03560735668373106,0.03560735668373106
6400.0,0.035997003172899104,0.035997003172899104
6500.0,0.03637483986208793,0.03637483986208793
6600.0,0.036806919358532086,0.036806919358532086
6700.0,0.037341787333221854,0.037341787333221854
6800.0,0.037879216837734105,0.037879216837734105
6900.0,0.03831914238692841,0.03831914238692841
7000.0,0.03871542039629544,0.03871542039629544
7100.0,0.039138548053707076,0.039138548053707076
7200.0,0.039569495162063345,0.039569495162063345
7300.0,0.03998694616056139,0.03998694616056139
7400.0,0.04045126149139332,0.04045126149139332
7500.0,0.04100611163281584,0.04100611163281584
7600.0,0.04154339965251258,0.04154339965251258
7700.0,0.04195689539790531,0.04195689539790531
7800.0,0.04230291990030632,0.04230291990030632
7900.0,0.04265977187402735,0.04265977187402735
8000.0,0.04303301066658278,0.04303301066658278
8100.0,0.043410971119288086,0.043410971119288086
8200.0,0.043784421824968736,0.043784421824968736
8300.0,0.04415713673284306,0.04415713673284306
8400.0,0.04458494644815847,0.04458494644815847
8500.0,0.045098164875900904,0.045098164875900904
8600.0,0.045569237835286415,0.045569237835286415
8700.0,0.04588287032141805,0.04588287032141805
8800.0,0.04613337030849973,0.04613337030849973
