time,ssp585,ssp245,ssp126,ssp119
1950,0.2477566349627806,0.2477566349627806,0.2477566349627806,0.2477566349627806
1951,0.2479306736314091,0.2479306736314091,0.2479306736314091,0.2479306736314091
1952,0.2481047123000376,0.2481047123000376,0.2481047123000376,0.2481047123000376
1953,0.248278750968666,0.248278750968666,0.248278750968666,0.248278750968666
1954,0.2484527896372946,0.2484527896372946,0.2484527896372946,0.2484527896372946
1955,0.248626828305923,0.248626828305923,0.248626828305923,0.248626828305923
1956,0.2488008669745515,0.2488008669745515,0.2488008669745515,0.2488008669745515
1957,0.2491784925829678,0.2491784925829678,0.2491784925829678,0.2491784925829678
1958,0.2497970096290692,0.2497970096290692,0.2497970096290692,0.2497970096290692
1959,0.2505810220084338,0.2505810220084338,0.2505810220084338,0.2505810220084338
1960,0.2514148287491546,0.2514148287491546,0.2514148287491546,0.2514148287491546
1961,0.252259610522082,0.252259610522082,0.252259610522082,0.252259610522082
1962,0.2534214585920848,0.2534214585920848,0.2534214585920848,0.2534214585920848
1963,0.2552821799358012,0.2552821799358012,0.2552821799358012,0.2552821799358012
1964,0.2580598325796108,0.2580598325796108,0.2580598325796108,0.2580598325796108
1965,0.2619368270867152,0.2619368270867152,0.2619368270867152,0.2619368270867152
1966,0.2669474160541998,0.2669474160541998,0.2669474160541998,0.2669474160541998
1967,0.273096524756648,0.273096524756648,0.273096524756648,0.273096524756648
1968,0.2803419676606083,0.2803419676606083,0.2803419676606083,0.2803419676606083
1969,0.2887195889589536,0.2887195889589536,0.2887195889589536,0.2887195889589536
1970,0.2982664740408728,0.2982664740408728,0.2982664740408728,0.2982664740408728
1971,0.3090215974267088,0.3090215974267088,0.3090215974267088,0.3090215974267088
1972,0.3206113761475759,0.3206113761475759,0.3206113761475759,0.3206113761475759
1973,0.3332017231612418,0.3332017231612418,0.3332017231612418,0.3332017231612418
1974,0.3464901088646416,0.3464901088646416,0.3464901088646416,0.3464901088646416
1975,0.3605308111985172,0.3605308111985172,0.3605308111985172,0.3605308111985172
1976,0.3754720478569752,0.3754720478569752,0.3754720478569752,0.3754720478569752
1977,0.3914790637298997,0.3914790637298997,0.3914790637298997,0.3914790637298997
1978,0.4084305551561713,0.4084305551561713,0.4084305551561713,0.4084305551561713
1979,0.4263074826915158,0.4263074826915158,0.4263074826915158,0.4263074826915158
1980,0.4447898066188731,0.4447898066188731,0.4447898066188731,0.4447898066188731
1981,0.4634760547365818,0.4634760547365818,0.4634760547365818,0.4634760547365818
1982,0.4820146629880334,0.4820146629880334,0.4820146629880334,0.4820146629880334
1983,0.5003533542427007,0.5003533542427007,0.5003533542427007,0.5003533542427007
1984,0.518614919407493,0.518614919407493,0.518614919407493,0.518614919407493
1985,0.5371922076474217,0.5371922076474217,0.5371922076474217,0.5371922076474217
1986,0.5561968298524309,0.5561968298524309,0.5561968298524309,0.5561968298524309
1987,0.5752422696819878,0.5752422696819878,0.5752422696819878,0.5752422696819878
1988,0.5935432952095013,0.5935432952095013,0.5935432952095013,0.5935432952095013
1989,0.6110680812456394,0.6110680812456394,0.6110680812456394,0.6110680812456394
1990,0.6276908223247727,0.6276908223247727,0.6276908223247727,0.6276908223247727
1991,0.6437126908385387,0.6437126908385387,0.6437126908385387,0.6437126908385387
1992,0.6598507258587913,0.6598507258587913,0.6598507258587913,0.6598507258587913
1993,0.6766125452715894,0.6766125452715894,0.6766125452715894,0.6766125452715894
1994,0.6944673982622687,0.6944673982622687,0.6944673982622687,0.6944673982622687
1995,0.7132099834463242,0.7132099834463242,0.7132099834463242,0.7132099834463242
1996,0.732257528986465,0.732257528986465,0.732257528986465,0.732257528986465
1997,0.7509028044546839,0.7509028044546839,0.7509028044546839,0.7509028044546839
1998,0.7689149899022428,0.7689149899022428,0.7689149899022428,0.7689149899022428
1999,0.7861837362444185,0.7861837362444185,0.7861837362444185,0.7861837362444185
2000,0.8027300589002065,0.8027300589002065,0.8027300589002065,0.8027300589002065
2001,0.8191011919790757,0.8191011919790757,0.8191011919790757,0.8191011919790757
2002,0.8359019784927634,0.8359019784927634,0.8359019784927634,0.8359019784927634
2003,0.8538038562584065,0.8538038562584065,0.8538038562584065,0.8538038562584065
2004,0.8730475556860163,0.8730475556860163,0.8730475556860163,0.8730475556860163
2005,0.8936081389922199,0.8936081389922199,0.8936081389922199,0.8936081389922199
2006,0.9153422555371884,0.9153422555371884,0.9153422555371884,0.9153422555371884
