,1991-2023,average
0.0,0.18397149603523147,0.18397149603523147
100.0,0.18727152511896955,0.18727152511896955
200.0,0.18602418537288035,0.18602418537288035
300.0,0.18168012761890232,0.18168012761890232
400.0,0.17569000267896737,0.17569000267896737
500.0,0.1694200064348425,0.1694200064348425
600.0,0.16389851500758512,0.16389851500758512
700.0,0.15974550473853624,0.15974550473853624
800.0,0.15628517261083055,0.15628517261083055
900.0,0.15271760599442508,0.15271760599442508
1000.0,0.1490422331647585,0.1490422331647585
1100.0,0.14562849261044145,0.14562849261044145
1200.0,0.1435265227673157,0.1435265227673157
1300.0,0.14369365970407416,0.14369365970407416
1400.0,0.1460353300736833,0.1460353300736833
1500.0,0.1502527290195996,0.1502527290195996
1600.0,0.15628203506299787,0.15628203506299787
1700.0,0.16399007137957072,0.16399007137957072
1800.0,0.1727312563853872,0.1727312563853872
1900.0,0.18178306187030732,0.18178306187030732
2000.0,0.19062757787898924,0.19062757787898924
2100.0,0.19889671337453396,0.19889671337453396
2200.0,0.2066170347390793,0.2066170347390793
2300.0,0.21391549971967705,0.21391549971967705
2400.0,0.22092597410395587,0.22092597410395587
2500.0,0.2275943164778563,0.2275943164778563
2600.0,0.23310744857992668,0.23310744857992668
2700.0,0.2368724073586764,0.2368724073586764
2800.0,0.23993562744978575,0.23993562744978575
2900.0,0.24345145939534338,0.24345145939534338
3000.0,0.24736651967599554,0.24736651967599554
3100.0,0.25121567337924466,0.25121567337924466
3200.0,0.25409451408149514,0.25409451408149514
3300.0,0.2553769474057278,0.2553769474057278
3400.0,0.25598939867225945,0.25598939867225945
3500.0,0.2569816587162913,0.2569816587162913
3600.0,0.2583444607351911,0.2583444607351911
3700.0,0.2596783354319071,0.2596783354319071
3800.0,0.26008206116961696,0.26008206116961696
3900.0,0.2589128351550345,0.2589128351550345
4000.0,0.2570632823088851,0.2570632823088851
4100.0,0.25556802362913356,0.25556802362913356
4200.0,0.2544942367087223,0.2544942367087223
4300.0,0.25358225500891607,0.25358225500891607
4400.0,0.2522324788692932,0.2522324788692932
4500.0,0.25000728297208336,0.25000728297208336
4600.0,0.24745687249175505,0.24745687249175505
4700.0,0.24518490204020738,0.24518490204020738
4800.0,0.24302099348677342,0.24302099348677342
4900.0,0.24075202409362725,0.24075202409362725
5000.0,0.23876792543681225,0.23876792543681225
5100.0,0.23750009739003372,0.23750009739003372
5200.0,0.2369427587037702,0.2369427587037702
5300.0,0.23694876267652695,0.23694876267652695
5400.0,0.23724268192214865,0.23724268192214865
5500.0,0.23754092710574384,0.23754092710574384
5600.0,0.23765554178209464,0.23765554178209464
5700.0,0.23759650021128625,0.23759650021128625
5800.0,0.23806986658491475,0.23806986658491475
5900.0,0.23967869068889006,0.23967869068889006
6000.0,0.24191787475486431,0.24191787475486431
6100.0,0.24416204799241573,0.24416204799241573
6200.0,0.246412895077074,0.246412895077074
6300.0,0.24876843873429288,0.24876843873429288
6400.0,0.25108499842329474,0.25108499842329474
6500.0,0.2533033463490663,0.2533033463490663
6600.0,0.25594376896586923,0.25594376896586923
6700.0,0.25943803964058687,0.25943803964058687
6800.0,0.2632843651413348,0.2632843651413348
6900.0,0.2669146514605918,0.2669146514605918
7000.0,0.27042916808709616,0.27042916808709616
7100.0,0.27402353939115653,0.27402353939115653
7200.0,0.27760644577313276,0.27760644577313276
7300.0,0.2811129046883679,0.2811129046883679
7400.0,0.2848702257821125,0.2848702257821125
7500.0,0.28904804317699284,0.28904804317699284
7600.0,0.2927929967152105,0.2927929967152105
7700.0,0.2953137433825816,0.2953137433825816
7800.0,0.2970900030197745,0.2970900030197745
7900.0,0.2987696698605521,0.2987696698605521
8000.0,0.3004022728561739,0.3004022728561739
8100.0,0.30189993539792814,0.30189993539792814
8200.0,0.30322352391970686,0.30322352391970686
8300.0,0.30442039401689835,0.30442039401689835
8400.0,0.3058351148882702,0.3058351148882702
8500.0,0.3075753669859821,0.3075753669859821
8600.0,0.3085040621723439,0.3085040621723439
8700.0,0.30761802748895506,0.30761802748895506
8800.0,0.30569451928438246,0.30569451928438246
8900.0,0.30370585646473003,0.30370585646473003
9000.0,0.30162417885925524,0.30162417885925524
9100.0,0.29926302061355126,0.29926302061355126
9200.0,0.29680167221544296,0.29680167221544296
9300.0,0.29444774126673595,0.29444774126673595
9400.0,0.292156347483,0.292156347483
9500.0,0.28986185555992294,0.28986185555992294
9600.0,0.28766809799995174,0.28766809799995174
9700.0,0.28558576751581266,0.28558576751581266
9800.0,0.28308352985456575,0.28308352985456575
