time,ClimTrace_GSAT,ERA5 (C3S-CDS),ClimTrace_GSAT_1sigma
1850,-0.0715304269027777,,0.0813320653734361
1851,0.0631227690972222,,0.0813320653734361
1852,0.0863452093333333,,0.0813320653734361
1853,0.0536503346805555,,0.0813320653734361
1854,0.0636819497638888,,0.0813320653734361
1855,0.0591860633749999,,0.0813320653734361
1856,-0.0108412834583333,,0.0813320653734361
1857,-0.1223440324583333,,0.0813320653734361
1858,-0.0246649402361111,,0.0816145767556733
1859,0.0918446747638888,,0.0818970881379105
1860,-0.0560829385694444,,0.0821795995201478
1861,-0.1126142745694444,,0.082462110902385
1862,-0.2028766382916666,,0.0827446222846223
1863,-0.0111160994027777,,0.0830271336668595
1864,-0.0605651574583333,,0.0833096450490967
1865,0.054375119486111,,0.0873942019662951
1866,0.0589996769305555,,0.0823868552964094
1867,0.0394855261527777,,0.0891679337683929
1868,0.0441195408194444,,0.0811387320833105
1869,0.0782252189305555,,0.0734066004677693
1870,0.0173751424027777,,0.0651548453868498
1871,-0.0051244928472222,,0.0672216193047917
1872,0.008736981486111,,0.0627008918274356
1873,0.0139397636527777,,0.0610494095933851
1874,-0.023678136625,,0.0622000724589435
1875,-0.035620251625,,0.0641414920177074
1876,-0.0609623510694444,,0.0642902509943649
1877,0.2920015072916667,,0.0599831405762679
1878,0.3541694173472222,,0.0562287070444278
1879,0.0523970125416666,,0.0607179602436778
1880,0.0138443767083333,,0.0581091790359547
1881,0.1072414452083333,,0.0586933377385704
1882,0.0429271185694444,,0.0582374887564123
1883,-0.0023960157916666,,0.0538758972386736
1884,-0.1423859052361111,,0.0521908385244437
1885,-0.1217058502361111,,0.0528633294925294
1886,-0.1119261935694444,,0.0485393257107674
1887,-0.1686939677361111,,0.0553279509798587
1888,0.0182101578194444,,0.0537075604705051
1889,0.1212843795138888,,0.0572605730518671
1890,-0.156836269125,,0.0586344492079391
1891,-0.0457056663472222,,0.0631280005962509
1892,-0.1136166432916666,,0.0634349263625443
1893,-0.1246463994027777,,0.0634959669560276
1894,-0.117715771625,,0.0655990424897049
1895,-0.0482616635694444,,0.0619333526360385
1896,0.0715626691805555,,0.0619869883909884
1897,0.0905963739305555,,0.0642742872232945
1898,-0.1068343374583333,,0.0613286326473919
1899,0.0262824028749999,,0.0609460929221374
1900,0.1351408750416666,,0.061379543302143
1901,0.0728852028194444,,0.0626136048075074
1902,-0.0666292005138889,,0.0623973670896447
1903,-0.1771538038472222,,0.0582999248460009
1904,-0.2400222344027778,,0.0594424004203326
1905,-0.0577413171805555,,0.0573928560471736
1906,0.0290427758749999,,0.0587476433092789
1907,-0.1491464505138889,,0.0545274356194593
1908,-0.1833705863472222,,0.0547014991363194
1909,-0.2136258499583333,,0.0512740816943227
1910,-0.1811291288472222,,0.0539682915436317
1911,-0.1970327255138889,,0.0528771834322741
1912,-0.1269730344027778,,0.0490200893209646
1913,-0.1107575757916666,,0.0521315944670287
1914,0.0784271769861111,,0.0510251728439094
1915,0.1380004722638888,,0.0552254933456051
1916,-0.0881240135694444,,0.0585318735849303
1917,-0.2213564141249999,,0.0624280675733098
1918,-0.0854882160694444,,0.0656469792180656
1919,-0.0061623177361111,,0.0641241797766671
1920,0.0212257628194444,,0.0617005589502517
1921,0.0802919744861111,,0.0580008317796868
1922,-0.0044146121805555,,0.05232591042413
1923,0.0106009417361111,,0.0513638371808297
1924,0.0157042203194444,,0.0514593807893189
1925,0.0485654598194444,,0.0532281456881185
1926,0.1907862857361111,,0.051325963873328
1927,0.0839491147638888,,0.0491442347714538
1928,0.0984124351249999,,0.05245301047278
1929,-0.077820391625,,0.0522196615953618
1930,0.14731866371638885,,0.05687878285117091
1931,0.21736345921138883,,0.055078072493358936
1932,0.16153474794487765,,0.05373323542351953
1933,-0.010585443505833299,,0.05283435812483772
1934,0.14288770963361108,,0.05068934111288263
1935,0.09291649253638884,,0.04964788436305725
1936,0.14469968549972215,,0.04820850246092722
1937,0.2892643421780555,,0.05140708512667619
1938,0.2989359734845,,0.05036351195623172
1939,0.28544574821083324,,0.053745325648197
1940,0.4022863169068333,0.2214863083385763,0.05941868758420997
1941,0.4000965568169444,0.26948630833857623,0.09697453737978326
1942,0.3428818557191667,0.17948630833857626,0.09511729844682026
1943,0.35788904622138884,0.18448630833857627,0.09949040605338899
1944,0.5018858536858333,0.3714863083385762,0.09640120607835996
1945,0.38986993010894994,0.2374863083385762,0.09694708268246316
1946,0.21444067875838882,0.2394863083385762,0.07213887439428142
1947,0.2594038774724999,0.28448630833857624,0.06923502469730763
1948,0.19290563524805554,0.2194863083385763,0.06634370937176352
1949,0.18386856320138883,0.2564863083385762,0.05545023924946068
1950,0.10848439259305555,0.14548630833857623,0.05345961984761156
1951,0.2660301368997221,0.27948630833857624,0.04640544117499782
1952,0.34436520052138886,0.2564863083385762,0.0505974496789407
1953,0.41261304848872216,0.3384863083385763,0.050809122001621305
1954,0.2055460308675,0.14148630833857623,0.04734914615579473
1955,0.1478052234441666,0.12448630833857621,0.04523069898484053
1956,0.08047790716638883,0.059486308338576266,0.040379973257589456
1957,0.3207780051465555,0.31248630833857627,0.036639349836832744
1958,0.3406300163553333,0.3784863083385762,0.036816322731870375
1959,0.3183249064476666,0.3444863083385763,0.03549017087696054
1960,0.24892993843772213,0.29448630833857625,0.03375141357570612
1961,0.3336630341291666,0.3734863083385762,0.03117244267243892
1962,0.29069448013305554,0.31348630833857627,0.03186666986720306
1963,0.32053325196805554,0.3504863083385762,0.03220433329926471
1964,0.050221766249722126,0.13448630833857622,0.027631377883493846
1965,0.15973259725527778,0.20248630833857628,0.02984966782066387
1966,0.21705131281111106,0.27948630833857624,0.030157318347202904
1967,0.2524252139491666,0.29448630833857625,0.028030194989249756
1968,0.18519594485944435,0.2264863083385762,0.028281822053942755
1969,0.3405072871273444,0.3624863083385762,0.027645978708356722
1970,0.2892532208641666,0.3344863083385763,0.027497796330332527
1971,0.1650811855941666,0.18148630833857626,0.02614610732710606
1972,0.2852833215252778,0.31248630833857627,0.026462864368805104
1973,0.43153987553249995,0.41848630833857625,0.027052001734534106
1974,0.19326227896138884,0.14548630833857623,0.025958508544265846
1975,0.2601237567741666,0.16848630833857625,0.027197850209495063
1976,0.1667744978169444,0.0954863083385763,0.02663173706650542
1977,0.48670548610172215,0.3864863083385762,0.029583176713446187
1978,0.37310586634277776,0.3274863083385763,0.027655195857148467
1979,0.46246433764527767,0.48448630833857625,0.025109432769672906
1980,0.5814701207413889,0.6084863083385763,0.027599961825493263
1981,0.6333056820919444,0.6474863083385762,0.027514609967908454
1982,0.41736889646405556,0.4484863083385762,0.027835054809832678
1983,0.6099591398097223,0.6414863083385762,0.028604073886502306
1984,0.4338957345424999,0.42648630833857626,0.027066466684552412
1985,0.42083543544911106,0.3904863083385762,0.026249905687219435
1986,0.48127468789638883,0.47748630833857625,0.02601920055906991
1987,0.6240751213552779,0.6334863083385762,0.027458563912781394
1988,0.6738887828497223,0.6624863083385762,0.029173454916647745
1989,0.5554607827575,0.5474863083385763,0.027726846336863325
1990,0.7446543239608334,0.7804863083385762,0.03030171450125065
1991,0.7213133860163888,0.7234863083385763,0.029696805764621803
1992,0.5094173135573888,0.48748630833857626,0.02704875596148101
1993,0.5536053337886111,0.5374863083385762,0.028494883910931745
1994,0.6161624142752778,0.5754863083385762,0.028499517053820124
1995,0.7760012990997223,0.7504863083385762,0.029997701496257207
1996,0.6550288553386111,0.6174863083385762,0.028517127290126006
1997,0.8052418837552778,0.7454863083385762,0.030160596856862138
1998,0.9641631802275001,0.9324863083385763,0.03298802720551079
1999,0.7109906743608333,0.6624863083385762,0.028746323378802036
2000,0.7130025051886112,0.6564863083385762,0.02907359612586019
2001,0.8653285991441667,0.8274863083385763,0.030793069243618475
2002,0.9431786423052777,0.9174863083385763,0.03185904655226346
2003,0.9395614479552779,0.9034863083385762,0.03230071556088363
2004,0.8577161973663889,0.8344863083385763,0.031104267305467087
2005,1.0123301629330554,1.0054863083385763,0.03305597763876597
2006,0.968449171566389,0.9534863083385763,0.03223323132428633
2007,0.9773088774052778,0.9474863083385763,0.03232486111179391
2008,0.8518673953219446,0.8114863083385763,0.031010074126503112
2009,0.989954525766389,0.9464863083385763,0.032776415122104795
2010,1.0680292956997222,1.0414863083385764,0.0339942010683758
2011,0.9368622789719445,0.9014863083385762,0.031982379440257856
2012,0.9723197456663888,0.9464863083385763,0.03276753602022624
2013,1.0033578011775002,0.9784863083385762,0.03378601818662899
2014,1.0735139736108334,1.0194863083385763,0.03465243374110854
2015,1.2348800779330555,1.1674863083385763,0.037345619174297684
2016,1.3617184989775,1.3454863083385762,0.03910596419229641
2017,1.2644343801886113,1.2544863083385762,0.03720630709047803
2018,1.1856344030108334,1.1754863083385763,0.036047093807334195
2019,1.3185631862608334,1.3114863083385764,0.038911693342612796
2020,1.3508260652941668,1.3374863083385762,0.03955549547871467
2021,1.185706459455278,1.1864863083385764,0.03705753185912316
2022,1.2257582991663891,1.2134863083385763,0.037650965576280206
2023,1.537159850988611,1.5134863083385763,0.0437498843186176
2024,1.6231638352191742,1.6304863083385763,0.0454627372909208
